Analysis,Pipeline version,Sample,MGnify ID,Experiment type,Assembly,ENA run,ENA WGS sequence set
MGYA00005703,2.0,ERS612894,MGYS00000447,metagenomic,,ERR688346,
MGYA00010576,2.0,ERS612897,MGYS00000447,metagenomic,,ERR688349,
MGYA00005705,2.0,ERS612885,MGYS00000447,metagenomic,,ERR688352,
MGYA00005704,2.0,ERS612895,MGYS00000447,metagenomic,,ERR688347,
MGYA00010575,2.0,ERS612896,MGYS00000447,metagenomic,,ERR688348,
MGYA00028422,2.0,ERS1058986,MGYS00000612,metagenomic,,ERR1260469,
MGYA00028421,2.0,ERS1058990,MGYS00000612,metagenomic,,ERR1260473,
MGYA00028423,2.0,ERS1058989,MGYS00000612,metagenomic,,ERR1260472,
MGYA00010581,2.0,ERS612887,MGYS00000447,metagenomic,,ERR688354,
MGYA00010579,2.0,ERS612900,MGYS00000447,metagenomic,,ERR688341,
MGYA00010578,2.0,ERS612899,MGYS00000447,metagenomic,,ERR688351,
MGYA00005901,2.0,ERS612891,MGYS00000447,metagenomic,,ERR688343,
MGYA00010573,2.0,ERS612893,MGYS00000447,metagenomic,,ERR688345,
MGYA00010574,2.0,ERS612892,MGYS00000447,metagenomic,,ERR688344,
MGYA00028420,2.0,ERS1058987,MGYS00000612,metagenomic,,ERR1260470,
MGYA00010582,2.0,ERS612888,MGYS00000447,metagenomic,,ERR688355,
MGYA00010580,2.0,ERS612886,MGYS00000447,metagenomic,,ERR688353,
MGYA00010519,2.0,ERS612889,MGYS00000447,metagenomic,,ERR1035442,
MGYA00010583,2.0,ERS612890,MGYS00000447,metagenomic,,ERR688342,
MGYA00028419,2.0,ERS1058988,MGYS00000612,metagenomic,,ERR1260471,
MGYA00010577,2.0,ERS612898,MGYS00000447,metagenomic,,ERR688350,
